,Date,EndingBalance
1,2020-03-10,10035.75
2,2020-03-11,10017.75
3,2020-03-12,9950.52047729492
4,2020-03-13,9950.52047729492
5,2020-03-16,9960.27047729492
6,2020-03-17,9960.27047729492
7,2020-03-18,9950.27047729492
8,2020-03-19,9960.02047729492
9,2020-03-20,9959.77047729492
10,2020-03-23,9971.02047729492
11,2020-03-24,9991.52047729492
12,2020-03-25,9988.258468627926
13,2020-03-26,10017.508468627926
14,2020-03-27,10076.008468627926
15,2020-03-30,10037.258468627926
16,2020-03-31,10046.508468627926
17,2020-04-01,10056.758468627926
18,2020-04-02,9995.258468627926
19,2020-04-03,9923.258468627926
